slug;title;author;genre;year
inchbald-ill-tell-you-what;I'll tell you what;Inchbald, Elizabeth;comedy;1786
inchbald-next-door-neighbours;Next door neighbours;Inchbald, Elizabeth;comedy;1791
inchbald-such-things-are;Such things are;Inchbald, Elizabeth;nan;1788
inchbald-the-mogul-tale;The mogul tale;Inchbald, Elizabeth;farce;1788
inchbald-the-wedding-day;The wedding day;Inchbald, Elizabeth;comedy;1794
inchbald-wives-as-they-were;Wives as they were;Inchbald, Elizabeth;comedy;1797
jephson-braganza;Braganza;Jephson, Robert;tragedy;1775
jephson-conspiracy;Conspiracy;Jephson, Robert;tragedy;1796
jephson-julia;Julia;Jephson, Robert;tragedy;1787
jephson-the-count-of-narbonne;The Count of Narbonne;Jephson, Robert;tragedy;1781
jephson-the-hotel;The hotel;Jephson, Robert;nan;1783
jephson-the-law-of-lombardy;The law of Lombardy;Jephson, Robert;tragedy;1779
jephson-two-strings-to-your-bow;Two strings to your bow;Jephson, Robert;farce;1791
jerningham-the-peckham-frolic;The Peckham frolic;Jerningham, Edward;comedy;1799
jerningham-the-siege-of-berwick;The siege of Berwick;Jerningham, Edward;tragedy;1794
jerningham-the-welch-heiress;The Welch heiress;Jerningham, Edward;comedy;1795
jones-the-earl-of-essex;The Earl of Essex;Jones, Henry;tragedy;1753
kelly-a-word-to-the-wise;A word to the wise;Kelly, Hugh;comedy;1770
kelly-clementina;Clementina;Kelly, Hugh;tragedy;1771
kelly-false-delicacy;False delicacy;Kelly, Hugh;comedy;1768
kelly-the-school-for-wives;The school for wives;Kelly, Hugh;comedy;1774
kemble-the-pannel;The pannel;Kemble, John Philip;nan;1789
kenrick-falstaffs-wedding;Falstaff's wedding;Kenrick, William;comedy;1766
kenrick-fun;Fun;Kenrick, William;nan;1752
kenrick-the-duellist;The duellist;Kenrick, William;comedy;1773
kenrick-the-widowd-wife;The widow'd wife;Kenrick, William;comedy;1767
king-like-master-like-man;Like master, like man;King, Thomas;comedy;1766
king-wits-last-stake;Wit's last stake;King, Thomas;farce;1769
lee-almeyda-queen-of-granada;Almeyda, Queen of Granada;Lee, Sophia;tragedy;1796
lee-the-chapter-of-accidents;The chapter of accidents;Lee, Sophia;comedy;1780
lennox-the-sister;The sister;Lennox, Charlotte;comedy;1769
lewis-the-castle-spectre;The castle spectre;Lewis, Matthew Gregory;drama;1798
lewis-the-east-indian;The East Indian;Lewis, Matthew Gregory;comedy;1800
lillo-marina;Marina;Lillo, George;nan;1738
lillo-the-london-merchant;The London merchant;Lillo, George;nan;1731
macklin-king-henry-the-vii;King Henry the VII;Macklin, Charles;tragedy;1746
macklin-love-a-al-a-mode-sic;Love a-al-a-mode [sic];Macklin, Charles;comedy;1779
macklin-the-man-of-the-world;The man of the world;Macklin, Charles;comedy;1785
macklin-the-true-born-irishman;The true-born Irishman;Macklin, Charles;comedy;1783
macnally-fashionable-levities;Fashionable levities;MacNally, Leonard;comedy;1785
macnally-retaliation;Retaliation;MacNally, Leonard;farce;1782
macnally-tristram-shandy;Tristram Shandy;MacNally, Leonard;nan;1783
manley-lucius-the-first-christian-king-of-britain;Lucius, the first Christian King of Britain;Manley, Delarivier;tragedy;1717
mason-caractacus;Caractacus;Mason, William;tragedy;1759
more-percy;Percy;More, Hannah;tragedy;1778
more-the-fatal-falsehood;The fatal falsehood;More, Hannah;tragedy;1779
more-the-inflexible-captive;The inflexible captive;More, Hannah;tragedy;1775
morton-a-cure-for-the-heart-ache;A cure for the heart-ache;Morton, Thomas;comedy;1797
morton-columbus;Columbus;Morton, Thomas;nan;1792
morton-secrets-worth-knowing;Secrets worth knowing;Morton, Thomas;comedy;1798
morton-speed-the-plough;Speed the plough;Morton, Thomas;comedy;1800
morton-the-way-to-get-married;The way to get married;Morton, Thomas;comedy;1796
morton-zorinski;Zorinski;Morton, Thomas;nan;1795
murphy-all-in-the-wrong;All in the wrong;Murphy, Arthur;comedy;1761
murphy-alzuma;Alzuma;Murphy, Arthur;tragedy;1773
murphy-arminius;Arminius;Murphy, Arthur;tragedy;1798
murphy-know-your-own-mind;Know your own mind;Murphy, Arthur;comedy;1778
murphy-no-ones-enemy-but-his-own;No one's enemy but his own;Murphy, Arthur;comedy;1764
murphy-the-apprentice;The apprentice;Murphy, Arthur;farce;1756
murphy-the-citizen-a-farce;The citizen. A farce;Murphy, Arthur;nan;1763
murphy-the-desert-island;The desert island;Murphy, Arthur;nan;1760
murphy-the-grecian-daughter;The Grecian daughter;Murphy, Arthur;tragedy;1772
murphy-the-old-maid;The old maid;Murphy, Arthur;comedy;1761
murphy-the-orphan-of-china;The orphan of China;Murphy, Arthur;tragedy;1759
murphy-the-rival-sisters;The rival sisters;Murphy, Arthur;tragedy;1793
murphy-the-school-for-guardians;The school for guardians;Murphy, Arthur;comedy;1767
murphy-the-upholsterer;The upholsterer;Murphy, Arthur;farce;1758
murphy-the-way-to-keep-him;The way to keep him;Murphy, Arthur;comedy;1760
murphy-three-weeks-after-marriage;Three weeks after marriage;Murphy, Arthur;comedy;1775
murphy-what-we-must-all-come-to;What we must all come to;Murphy, Arthur;comedy;1764
murphy-zenobia;Zenobia;Murphy, Arthur;tragedy;1768
obrien-william-cross-purposes;Cross purposes;O'Brien, William, William;farce;1772
okeeffe-lie-of-a-day;Lie of a day;O'Keeffe, John;comedy;1800
okeeffe-lifes-vagaries-a-comedy;Life's vagaries, a comedy;O'Keeffe, John;nan;1795
okeeffe-the-farce-of-the-modern-antiques-or-the-merry-mourners;The farce of the Modern antiques, or the merry mourners;O'Keeffe, John;nan;1792
okeeffe-the-little-hunch-back;The little hunch-back;O'Keeffe, John;farce;1789
okeeffe-the-london-hermit;The London hermit;O'Keeffe, John;comedy;1793
okeeffe-the-prisoner-at-large;The prisoner at large;O'Keeffe, John;comedy;1788
okeeffe-the-she-gallant;The she gallant;O'Keeffe, John;comedy;1767
okeeffe-the-world-in-a-village;The world in a village;O'Keeffe, John;comedy;1793
okeeffe-the-young-quaker;The young Quaker;O'Keeffe, John;comedy;1784
okeeffe-tony-lumpkin-in-town;Tony Lumpkin in town;O'Keeffe, John;farce;1780
okeeffe-wild-oats;Wild oats;O'Keeffe, John;comedy;1791
philips-the-briton;The Briton;Philips, Ambrose;tragedy;1722
pilon-aerostation;Aerostation;Pilon, Frederick;farce;1785
pilon-barataria;Barataria;Pilon, Frederick;farce;1785
pilon-he-would-be-a-soldier;He would be a soldier;Pilon, Frederick;comedy;1786
pilon-the-deaf-lover;The deaf lover;Pilon, Frederick;farce;1780
pilon-the-humours-of-an-election;The humours of an election;Pilon, Frederick;farce;1780
pilon-the-invasion;The invasion;Pilon, Frederick;farce;1778
pilon-the-liverpool-prize;The Liverpool prize;Pilon, Frederick;farce;1779
popple-the-ladys-revenge;The lady's revenge;Popple, William;comedy;1734
pratt-the-fair-circassian;The fair Circassian;Pratt, Samuel Jackson;tragedy;1781
pratt-the-new-cosmetic;The new cosmetic;Pratt, Samuel Jackson;comedy;1790
reed-madrigal-and-trulletta;Madrigal and Trulletta;Reed, Joseph;tragedy;1758
reed-the-register-office;The register-office;Reed, Joseph;farce;1761
reynolds-management;Management;Reynolds, Frederick;comedy;1799
reynolds-the-rage;The rage;Reynolds, Frederick;comedy;1795
rowe-tamerlane;Tamerlane;Rowe, Nicholas;tragedy;1703
rowe-the-ambitious-step-mother;The ambitious step-mother;Rowe, Nicholas;tragedy;1701
rowe-the-fair-penitent;The fair penitent;Rowe, Nicholas;tragedy;1714
rowe-ulysses;Ulysses;Rowe, Nicholas;tragedy;1706
savage-the-tragedy-of-sir-thomas-overbury;The tragedy of Sir Thomas Overbury;Savage, Richard;nan;1724
sheridan-a-trip-to-scarborough;A trip to Scarborough;Sheridan, Richard Brinsley;comedy;1781
sheridan-the-critic;The critic;Sheridan, Richard Brinsley;tragedy;1781
sheridan-the-rivals;The rivals;Sheridan, Richard Brinsley;comedy;1775
sheridan-the-school-for-scandal;The school for scandal;Sheridan, Richard Brinsley;comedy;1781
stevens-the-french-flogged-or-the-british-sailors-in-america;The French flogged, or, the British sailors in America;Stevens, George Alexander;farce;1767
theobald-double-falshood;Double falshood;Theobald, Lewis;nan;1728
thomson-coriolanus;Coriolanus;Thomson, James;tragedy;1749
thomson-edward-and-eleonora;Edward and Eleonora;Thomson, James;tragedy;1739
thomson-tancred-and-sigismunda;Tancred and Sigismunda;Thomson, James;tragedy;1745
thomson-the-tragedy-of-sophonisba;The tragedy of Sophonisba;Thomson, James;nan;1730
townley-high-life-below-stairs;High life below stairs;Townley, James;farce;1780
trusler-the-country-election;The country election;Trusler, John;farce;1768
vaughan-the-hotel;The hotel;Vaughan, Thomas;farce;1776
waldron-the-king-in-the-country;The King in the country;Waldron, Francis Godolphin;nan;1789
waldron-the-maid-of-kent;The maid of Kent;Waldron, Francis Godolphin;comedy;1778
waldron-the-prodigal;The prodigal;Waldron, Francis Godolphin;nan;1794
whitehead-cre-sa-queen-of-athens;Creüsa, Queen of Athens;Whitehead, William;tragedy;1754
whitehead-the-school-for-lovers;The school for lovers;Whitehead, William;comedy;1762
winchilsea-aristomenes;Aristomenes;Winchilsea, Anne Kingsmill Finch;nan;1713
